city_code	city_name	rice	wheat	millet	potato	bean	craft_crop	veg_oa	veg_gh	flower_oa	flower_gh	other_oa	other_gh	orange_u	orange_o	apple	grape	pear_j	pear_w	peach	cherry	biwa	persimmon	chestnut	ume	plum	kiwi	pineapple	other_fruit
"36206"	阿波市	0.527440890517273	0.008376963350785	0	0.010471204188482	0.004188481675393	0.025130890052356	0.839790575916231	0	0.008376963350785	0	0.027225130890052	0.001047120418848	0	0.012565445026178	0	0.040837696335079	0	0	0.002094240837696	0	0	0.008376963350785	0	0.008376963350785	0	0	0	0.003141361256545
"36207"	美馬市	0.52789265025389	0.348484848484848	0.075757575757576	0.022727272727273	0.060606060606061	0.075757575757576	0	0	0.022727272727273	0.015151515151515	0.151515151515152	0	0	0	0	0.022727272727273	0	0	0	0	0	0.053030303030303	0.037878787878788	0.007575757575758	0	0.015151515151515	0	0.090909090909091
"36208"	三好市	0.362358054706117	0	0.080645161290323	0.032258064516129	0.064516129032258	0.306451612903226	0	0	0.112903225806452	0	0.112903225806452	0	0.016129032258065	0	0	0	0	0	0	0	0	0.016129032258065	0.112903225806452	0.016129032258065	0	0	0	0.129032258064516
"36404"	板野町	0.494035419671615	0	0.090909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0.181818181818182	0.181818181818182	0	0	0	0	0.454545454545455	0	0	0	0	0	0.090909090909091
"36405"	上板町	0.499454923121313	0	0	0	0	0.16	0	0	0	0	0.28	0	0.013333333333333	0	0	0.013333333333333	0	0	0.133333333333333	0	0.013333333333333	0.36	0	0.026666666666667	0	0	0	0
"36489"	東みよし町	0.615526382768634	0.333333333333333	0.083333333333333	0.05	0.266666666666667	0	0	0	0	0	0.05	0	0	0.016666666666667	0	0	0	0	0	0	0	0	0.033333333333333	0.016666666666667	0	0	0	0.15
"37201"	徳島市	0.438101799659491	0.451162790697674	0.003720930232558	0.003720930232558	0.018604651162791	0.016744186046512	0.191627906976744	0	0.086511627906977	0.006511627906977	0.012093023255814	0.00093023255814	0.122790697674419	0	0	0.014883720930233	0	0	0.010232558139535	0	0.012093023255814	0.027906976744186	0.00093023255814	0.00093023255814	0	0.006511627906977	0	0.012093023255814
"37202"	鳴門市	0.394329692245407	0.799586776859504	0	0.002066115702479	0	0	0	0	0	0.018595041322314	0	0	0.006198347107438	0	0	0.004132231404959	0.008264462809917	0	0.150826446280992	0	0	0.006198347107438	0.002066115702479	0	0	0	0	0.002066115702479
"37203"	小松島市	0.325383537570058	0.173501577287066	0	0.094637223974763	0	0	0.50788643533123	0	0.004731861198738	0.001577287066246	0.003154574132492	0	0.201892744479495	0	0	0	0.001577287066246	0	0.004731861198738	0	0.001577287066246	0.003154574132492	0	0	0.001577287066246	0	0	0
"37204"	阿南市	0.560431167766732	0.803370786516854	0	0	0	0	0	0	0.044943820224719	0.00561797752809	0	0	0	0.050561797752809	0	0	0	0	0	0	0.033707865168539	0.00561797752809	0	0	0	0.050561797752809	0	0.00561797752809
"37205"	吉野川市	0.618058578356085	0.633802816901409	0.009389671361502	0.009389671361502	0.028169014084507	0	0	0	0.075117370892019	0.037558685446009	0.075117370892019	0.004694835680751	0	0	0	0	0.093896713615024	0	0.009389671361502	0	0	0.009389671361502	0	0	0	0.004694835680751	0	0.009389671361502
"37206"	阿波市	0.384073586086991	0.521452145214521	0	0.003300330033003	0	0	0.353135313531353	0	0.006600660066007	0	0.042904290429043	0	0.003300330033003	0.013201320132013	0	0.02970297029703	0	0	0.016501650165017	0	0	0.003300330033003	0	0	0.006600660066007	0	0	0
"37207"	美馬市	0.444529244184484	0.801980198019802	0	0	0	0	0	0	0	0.02970297029703	0.138613861386139	0	0	0	0	0	0	0	0	0	0	0	0.02970297029703	0	0	0	0	0
"37208"	三好市	0.349995509855866	0	0.003361344537815	0.005042016806723	0.005042016806723	0.100840336134454	0	0	0.036974789915966	0.030252100840336	0.095798319327731	0.003361344537815	0.418487394957983	0.072268907563025	0	0.06890756302521	0.001680672268908	0	0.072268907563025	0	0.011764705882353	0.038655462184874	0.010084033613445	0.003361344537815	0	0.011764705882353	0	0.010084033613445
"37322"	勝浦町	0.253226620520585	0	0	0.020833333333333	0	0.6875	0	0	0.020833333333333	0.020833333333333	0	0	0	0.208333333333333	0	0	0	0	0	0	0	0	0	0	0	0.041666666666667	0	0
"37324"	上勝町	0.320296504416182	0	0	0	0	0.821428571428571	0	0	0.05952380952381	0	0	0	0.095238095238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023809523809524
"37341"	佐那河内村	0.392984736270037	0.729411764705882	0	0	0	0	0.235294117647059	0	0.005882352941176	0	0.005882352941176	0.011764705882353	0	0	0	0	0	0	0	0	0	0.005882352941176	0	0	0	0.005882352941176	0	0
"37386"	神山町	0.356252723311547	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"37387"	那賀町	0.41176812377292	0.780952380952381	0.044444444444445	0.003174603174603	0.012698412698413	0.012698412698413	0	0	0.015873015873016	0	0.00952380952381	0.003174603174603	0	0	0	0.015873015873016	0	0	0	0	0	0.101587301587302	0	0	0	0	0	0
"37403"	牟岐町	0.565340909090909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"37404"	美波町	0.330701394585726	0.821656050955414	0	0	0	0	0	0.02547770700637	0	0	0	0	0.012738853503185	0.006369426751592	0	0.121019108280255	0	0	0	0	0.006369426751592	0	0	0	0	0.006369426751592	0	0
