basinid	lu_0100	lu_0200	lu_0500	lu_0600	lu_0700	lu_0901	lu_0902	lu_1000	lu_1100	lu_1400	lu_1500	lu_1600	lu_0000	rice	wheat	millet	potato	bean	craft_crop	veg_oa	veg_gh	flower_oa	flower_gh	other_oa	other_gh	orange_u	orange_o	apple	grape	pear_j	pear_w	peach	cherry	biwa	persimmon	chestnut	ume	plum	kiwi	pineapple	other_fruit
"9257"	98	74	289		52	1	2	4	6					60.5697406788963	46.9014084507043	0.694835680751148	0.694835680751148	2.08450704225352	0	0	0	5.55868544600941	2.77934272300467	5.55868544600941	0.347417840375574	0	0	0	0	6.94835680751178	0	0.694835680751148	0	0	0.694835680751148	0	0	0	0.347417840375574	0	0.694835680751148
"9258"	275	12	29		191	13	3	7	20					169.966109047923	7.60563380281691	0.112676056338024	0.112676056338024	0.338028169014084	0	0	0	0.901408450704228	0.450704225352108	0.901408450704228	0.056338028169012	0	0	0	0	1.12676056338029	0	0.112676056338024	0	0	0.112676056338024	0	0	0	0.056338028169012	0	0.112676056338024
"9259"	658	12	29		486	14	2	43	81					406.682544558304	7.60563380281691	0.112676056338024	0.112676056338024	0.338028169014084	0	0	0	0.901408450704228	0.450704225352108	0.901408450704228	0.056338028169012	0	0	0	0	1.12676056338029	0	0.112676056338024	0	0	0.112676056338024	0	0	0	0.056338028169012	0	0.112676056338024
"9260"	103	71	140	2	67			7	40					63.6600335706768	45	0.666666666666642	0.666666666666642	2	0	0	0	5.33333333333335	2.66666666666664	5.33333333333335	0.333333333333321	0	0	0	0	6.6666666666667	0	0.666666666666642	0	0	0.666666666666642	0	0	0	0.333333333333321	0	0.666666666666642
"9261"	122	46	860	2	53			1	25					75.4031465594424	29.1549295774648	0.431924882629092	0.431924882629092	1.29577464788732	0	0	0	3.45539906103287	1.72769953051641	3.45539906103287	0.215962441314546	0	0	0	0	4.3192488262911	0	0.431924882629092	0	0	0.431924882629092	0	0	0	0.215962441314546	0	0.431924882629092
"9262"	45	91	249		20			7	21					27.8126360260238	57.6760563380282	0.854460093896682	0.854460093896682	2.56338028169014	0	0	0	6.83568075117373	3.41784037558682	6.83568075117373	0.427230046948341	0	0	0	0	8.54460093896718	0	0.854460093896682	0	0	0.854460093896682	0	0	0	0.427230046948341	0	0.854460093896682
"9263"	29	40	481	1	28			4	3					17.9236987723265	25.3521126760564	0.37558685446008	0.37558685446008	1.12676056338028	0	0	0	3.00469483568076	1.50234741784036	3.00469483568076	0.18779342723004	0	0	0	0	3.75586854460096	0	0.37558685446008	0	0	0.37558685446008	0	0	0	0.18779342723004	0	0.37558685446008
"9264"	37	12	922	4	11			1	11					22.8681673991751	7.60563380281691	0.112676056338024	0.112676056338024	0.338028169014084	0	0	0	0.901408450704228	0.450704225352108	0.901408450704228	0.056338028169012	0	0	0	0	1.12676056338029	0	0.112676056338024	0	0	0.112676056338024	0	0	0	0.056338028169012	0	0.112676056338024
"9265"	6	32	1145		6			2	12					3.70835147013651	19.0140845070423	0.442980463425706	0.346206269877318	0.974102680599726	0.612903225806452	0	0	2.47932757837347	1.12676056338027	2.47932757837347	0.14084507042253	0.03225806451613	0	0	0	2.81690140845072	0	0.28169014084506	0	0	0.31394820536119	0.225806451612904	0.03225806451613	0	0.14084507042253	0	0.539754656974092
"9266"	21	1	1		10		1	1	17					8.9582841179745	0.633802816901409	0.009389671361502	0.009389671361502	0.028169014084507	0	0	0	0.075117370892019	0.037558685446009	0.075117370892019	0.004694835680751	0	0	0	0	0.093896713615024	0	0.009389671361502	0	0	0.009389671361502	0	0	0	0.004694835680751	0	0.009389671361502
"9267"	270	217	1072		74			21	31					94.4987876610838	0	0.729411764705855	1.09411764705889	1.09411764705889	21.8823529411765	0	0	8.02352941176462	6.56470588235291	20.7882352941176	0.729411764705855	90.8117647058823	15.6823529411764	0	14.9529411764706	0.364705882353036	0	15.6823529411764	0	2.5529411764706	8.38823529411766	2.18823529411757	0.729411764705855	0	2.5529411764706	0	2.18823529411757
"9268"	336	255	2641	3	57		12	10	58					138.357509002275	149.777419354839	1.47828679859044	1.56904310111147	8.70130116562761	5.44537815126052	0	0	5.88696123610744	2.93038763892657	21.3827866630524	0.829899701816223	27.7854161019246	3.90252100840335	0	3.72100840336134	0.090756302521032	0	5.19929520195178	0	0.635294117647062	6.62610463540249	2.48969910544867	1.47828679859044	0	0.635294117647062	0	4.43486039577131
"9269"	58	68	119		11			4	9					20.2997395716402	0	0.22857142857142	0.342857142857164	0.342857142857164	6.85714285714287	0	0	2.51428571428569	2.05714285714285	6.51428571428571	0.22857142857142	28.4571428571428	4.9142857142857	0	4.68571428571428	0.114285714285744	0	4.9142857142857	0	0.800000000000004	2.62857142857143	0.68571428571426	0.22857142857142	0	0.800000000000004	0	0.68571428571426
"9270"	46	39	798	37	7		2	2	10					16.0997934533698	0	0.131092436974785	0.196638655462197	0.196638655462197	3.93277310924371	0	0	1.44201680672267	1.1798319327731	3.73613445378151	0.131092436974785	16.3210084033613	2.81848739495797	0	2.68739495798319	0.065546218487412	0	2.81848739495797	0	0.458823529411767	1.50756302521009	0.393277310924355	0.131092436974785	0	0.458823529411767	0	0.393277310924355
"9271"	85	59	1021	1	5		4		1					32.1918557131255	21.6096774193548	0.287937110328004	0.338357278395244	1.36738953645976	3.02521008403362	0	0	1.67053402005964	1.09465979940363	5.2126592572513	0.194388723231227	13.3030089455137	2.16806722689075	0	2.0672268907563	0.05042016806724	0	2.3551640010843	0	0.35294117647059	1.81450257522363	0.583166169693681	0.287937110328004	0	0.35294117647059	0	0.863811330984012
"9272"	525	225	399	10	295	5	11	10	77					184.01570574283	1.26760563380282	0.768359174655749	1.14314909062223	1.18070777606824	22.4873949579832	0	0	8.39561289304446	6.82133585828695	21.5132599518681	0.758969503294247	93.3226890756302	16.1159663865546	0	15.3663865546218	0.562583343196532	0	16.1347457292776	0	2.62352941176472	8.63894740994991	2.24873949579823	0.749579831932745	0	2.63291908312622	0	2.26751883852124
"9273"	327	60	132		208	7		12	89			17		119.541730024372	0	0.2016806722689	0.30252100840338	0.30252100840338	6.05042016806724	0	0	2.21848739495796	1.81512605042016	5.74789915966386	0.2016806722689	25.109243697479	4.3361344537815	0	4.1344537815126	0.10084033613448	0	4.3361344537815	0	0.70588235294118	2.31932773109244	0.6050420168067	0.2016806722689	0	0.70588235294118	0	0.6050420168067
"9274"	346	255	362	6	145	16		16	41			62		121.09844641013	0	0.857142857142825	1.28571428571437	1.28571428571437	25.7142857142858	0	0	9.42857142857133	7.71428571428568	24.4285714285714	0.857142857142825	106.714285714286	18.4285714285714	0	17.5714285714286	0.42857142857154	0	18.4285714285714	0	3.00000000000002	9.85714285714287	2.57142857142848	0.857142857142825	0	3.00000000000002	0	2.57142857142848
